Ticker,Name,Price,Expense Ratio,Category,Morning Star Rating,Net Assets,Holdings Turnover,Inception Date,Fund Family,Cash,Stocks,Bonds,Others,Preferred,Convertable,Basic Materials,Consumer Cyclical,Financial Services,Realestate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,Number Years Up,Number Years Down,YTD,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year,Inception,Minimum Initial Investment,Minimum Subsequent Investment,Mutual Fund,ETF,Capture Date
OPATX,Invesco Pennsylvania Municipal Fund Class A,11.30,0.97,Muni Pennsylvania,5,839.43M,6.00,1989-09-17,Invesco,0.12,0.00,99.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25,5,2.34,-0.17,-0.14,3.01,7.94,5.72,5.08,NULL,1000,50,True,False,2020-11-13
OPNYX,Invesco Rochester AMT-Free New York Municipal Fund Class A,11.73,1.02,Muni New York Long,5,854.39M,11.00,1984-08-15,Invesco,0.04,0.00,99.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30,5,-0.33,-0.26,-0.93,0.27,5.46,4.58,4.41,NULL,1000,50,True,False,2020-11-13
RMUNX,Invesco Rochester New York Municipals Fund Class A,16.72,0.91,Muni New York Long,5,5.35B,2.00,1986-05-14,Invesco,0.74,0.00,99.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,1.36,-0.19,-1.08,1.72,7.59,6.64,5.18,NULL,1000,50,True,False,2020-11-13
AFGPX,Alger International Focus Fund Class B,17.81,2.09,Foreign Large Growth,2,155.3M,151.99,1986-11-10,Alger,1.78,98.22,0.00,0.00,0.00,0.00,2.86,20.46,13.64,0.00,4.16,12.12,0.00,8.07,3.39,16.16,19.15,23,10,17.06,-0.55,0.00,25.83,6.15,6.28,6.35,NULL,1000,50,True,False,2020-11-13
ALSCX,Alger Small Cap Growth Fund Class B,9.49,2.19,Small Growth,4,389.69M,17.09,1986-11-10,Alger,9.12,90.71,0.00,0.16,0.01,0.00,1.08,10.74,2.68,2.15,3.25,39.44,0.00,3.70,0.76,2.95,33.26,24,9,35.78,-1.66,0.00,42.68,21.20,18.13,13.36,NULL,1000,50,True,False,2020-11-13
PGWAX,AllianzGI Focused Growth Fund Class A,70.50,1.00,Large Growth,4,1.15B,63.00,1990-10-25,Allianz Global Investors,0.08,99.92,0.00,0.00,0.00,0.00,0.98,18.84,13.97,0.00,3.36,13.43,0.00,6.56,0.00,5.02,37.83,23,6,27.64,-4.29,4.33,38.57,18.85,16.41,16.21,NULL,1000,50,True,False,2020-11-13
PGWCX,AllianzGI Focused Growth Fund Class C,41.58,1.77,Large Growth,3,1.15B,63.00,1984-02-23,Allianz Global Investors,0.08,99.92,0.00,0.00,0.00,0.00,0.98,18.84,13.97,0.00,3.36,13.43,0.00,6.56,0.00,5.02,37.83,28,7,26.84,-4.36,4.13,37.54,17.94,15.52,15.33,NULL,1000,50,True,False,2020-11-13
PQNCX,AllianzGI Mid-Cap Value Fund Class C,23.64,1.75,Mid-Cap Value,3,1.24B,197.00,1988-04-17,Allianz Global Investors,1.36,98.64,0.00,0.00,0.00,0.00,3.34,7.86,18.46,10.96,5.30,10.09,12.80,0.91,1.43,15.86,12.97,23,8,-12.27,-0.27,-1.00,-6.94,-1.27,5.72,8.13,NULL,1000,50,True,False,2020-11-13
SEKSX,Carret Kansas Tax - Exempt Bond Fund Institutional Class,11.17,0.48,Muni Single State Interm,4,183.63M,N/,1990-12-09,American Independence,4.38,0.00,95.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26,3,3.53,-0.29,-0.76,3.86,3.45,2.84,3.23,NULL,3000000,5000,True,False,2020-11-13
AMANX,Amana Mutual Funds Trust Income Fund Investor,57.42,1.06,Large Blend,3,1.29B,0.00,1986-06-22,Amana,4.21,95.79,0.00,0.00,0.00,0.00,10.00,2.85,0.00,0.00,16.58,22.18,0.00,0.00,0.00,28.19,20.19,25,8,0.57,-2.57,0.11,7.56,7.45,9.36,9.98,NULL,250,25,True,False,2020-11-13
AADBX,American Beacon Balanced Fund R5 Class,15.63,0.66,Allocation--50% to 70% Equity,3,172.85M,68.00,1987-07-16,American Beacon,1.42,60.57,37.76,0.00,0.00,0.25,2.92,11.03,25.94,1.53,2.74,10.22,3.85,6.11,7.51,16.22,11.94,26,6,-7.70,0.13,-0.01,-4.14,2.34,5.10,7.25,NULL,250000,50,True,False,2020-11-13
AADEX,American Beacon Large Cap Value Fund R5 Class,26.46,0.63,Large Value,3,3.79B,23.00,1987-07-16,American Beacon,1.57,98.43,0.00,0.00,0.00,0.00,3.31,7.71,25.56,0.81,4.44,13.87,5.04,5.35,5.68,16.51,11.72,24,8,-14.68,-0.30,0.56,-9.33,0.47,4.97,8.66,NULL,250000,50,True,False,2020-11-13
BCHYX,American Century California High Yield Municipal Fund Investor Class,10.91,0.50,Muni California Long,4,1.47B,57.00,1986-12-29,American Century Investments,0.22,0.00,99.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27,6,1.07,-0.01,0.22,1.69,4.19,4.35,5.08,NULL,5000,50,True,False,2020-11-13
BCITX,American Century California Intermediate-Term Tax-Free Bond Fund Investor Class,12.17,0.47,Muni California Intermediate,3,1.97B,40.00,1983-11-08,American Century Investments,0.44,0.00,99.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31,5,1.96,-0.22,-0.44,2.42,3.12,2.82,3.28,NULL,5000,50,True,False,2020-11-13
BGNMX,American Century Ginnie Mae Fund Investor Class,10.69,0.55,Intermediate Government,3,1.01B,270.00,1985-09-22,American Century Investments,7.65,0.00,92.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32,2,3.27,0.18,-0.08,3.21,3.23,2.35,2.41,NULL,2500,50,True,False,2020-11-13
TWUSX,American Century Short-Term Government Fund Investor Class,9.77,0.55,Short Government,2,424.3M,206.00,1982-12-14,American Century Investments,4.56,0.00,95.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35,2,3.20,-0.07,-0.05,3.23,2.34,1.48,0.91,NULL,2500,50,True,False,2020-11-13
TWTIX,American Century Intermediate Term Tax-Free Bond Fund Investor Class,11.72,0.47,Muni National Interm,3,3.97B,49.00,1987-03-01,American Century Investments,0.51,0.00,99.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27,5,2.42,-0.14,-0.45,2.92,3.41,3.04,3.10,NULL,5000,50,True,False,2020-11-13
TWBIX,American Century Balanced Fund Investor Class,20.55,0.91,Allocation--50% to 70% Equity,4,944.72M,101.00,1988-10-19,American Century Investments,2.73,56.31,40.58,0.00,0.00,0.31,1.59,12.46,8.62,0.33,7.54,16.98,1.97,11.01,1.28,8.13,30.09,23,8,4.10,-1.89,-0.90,7.54,6.95,7.50,8.33,NULL,2500,50,True,False,2020-11-13
TWHIX,American Century Heritage Fund Investor Class,26.43,1.01,Mid-Cap Growth,3,4.96B,82.00,1987-11-09,American Century Investments,1.60,98.40,0.00,0.00,0.00,0.00,0.47,16.19,4.46,1.48,2.98,22.79,0.00,5.92,0.00,10.94,34.76,24,8,17.61,0.45,3.39,25.00,16.23,13.13,12.51,NULL,2500,50,True,False,2020-11-13
TWCUX,American Century Ultra Fund Investor Class,72.18,0.97,Large Growth,4,15.98B,13.00,1981-11-01,American Century Investments,0.39,99.61,0.00,0.00,0.00,0.00,0.69,19.58,14.07,0.00,4.82,11.32,0.00,14.24,0.18,3.49,31.62,31,7,27.26,-3.91,1.92,37.77,21.17,18.32,16.70,NULL,2500,50,True,False,2020-11-13
BIGRX,American Century Disciplined Core Value Fund Investor Class,41.10,0.67,Large Value,5,2.11B,100.00,1990-12-16,American Century Investments,2.47,97.53,0.00,0.00,0.00,0.00,2.72,9.30,18.71,4.56,8.93,17.23,2.29,7.03,1.67,12.16,15.38,21,8,-1.94,-2.14,-0.23,3.32,5.84,8.84,10.91,NULL,2500,50,True,False,2020-11-13
BGEIX,American Century Global Gold Fund Investor Class,13.76,0.68,Equity Precious Metals,4,802.47M,50.00,1988-08-16,American Century Investments,1.61,98.39,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14,17,23.00,-5.75,-14.41,29.07,18.18,19.91,-3.20,NULL,2500,50,True,False,2020-11-13
AMUSX,American Funds U.S. Government Securities Fund Class A,14.90,0.66,Intermediate Government,4,19.94B,720.00,1985-10-16,American Funds,26.89,0.00,73.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31,3,8.88,-0.40,-0.84,8.53,4.66,3.21,2.77,NULL,250,50,True,False,2020-11-13
TAFTX,American Funds Tax-Exempt Fund of California Class A,18.22,0.61,Muni California Long,3,2.97B,26.00,1986-10-27,American Funds,1.17,0.00,98.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27,6,2.16,-0.20,-0.55,2.48,3.67,3.38,4.31,NULL,1000,50,True,False,2020-11-13
AHITX,American Funds American High-Income Trust Class A,11.31,0.73,High Yield Bond,3,16.73B,52.00,1988-02-18,American Funds,4.94,2.48,91.08,0.00,0.46,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25,6,0.23,0.35,1.46,2.82,3.20,5.30,4.80,NULL,250,50,True,False,2020-11-13
APIGX,Yorktown Capital Income Fund Class A,32.26,1.48,Allocation--70% to 85% Equity,2,21.4M,46.00,1988-04-12,Yorktown Funds,1.69,98.31,0.00,0.00,0.00,0.00,3.74,7.80,18.20,4.53,9.30,14.42,6.05,9.56,3.91,13.22,9.28,23,8,-6.63,-2.57,-1.06,-4.29,1.63,4.86,5.87,NULL,1000,100,True,False,2020-11-13
APITX,Yorktown Growth Fund Class L,14.50,2.46,World Large Stock,4,59.24M,43.00,1985-06-13,Yorktown Funds,0.92,99.08,0.00,0.00,0.00,0.00,4.58,14.86,7.20,2.91,1.24,14.36,0.89,9.41,0.80,16.50,27.27,23,11,8.63,-0.30,2.22,14.31,7.66,9.48,9.27,NULL,1000,100,True,False,2020-11-13
MMAFX,AMG FQ Global Risk-Balanced Fund Class Z,14.35,1.10,Tactical Allocation,2,38.84M,15.00,1988-11-17,AMG Funds,9.27,16.01,53.07,6.30,0.00,0.02,8.88,10.69,16.06,3.91,8.28,13.14,3.98,4.91,4.20,12.48,13.47,22,9,-15.89,-1.51,-2.84,-14.57,-2.61,3.12,3.37,NULL,5000000,1000,True,False,2020-11-13
BRWIX,AMG Managers Brandywine Fund Class I,60.52,1.10,Mid-Cap Growth,3,835.82M,145.00,1985-12-29,AMG Funds,2.50,97.50,0.00,0.00,0.00,0.00,1.69,16.32,3.82,3.27,1.46,10.57,0.00,16.23,0.00,15.42,31.22,28,6,10.34,0.79,2.41,16.71,11.55,12.00,10.51,NULL,2000,100,True,False,2020-11-13
MGFIX,AMG Managers Loomis Sayles Bond Fund Class N,27.59,0.71,Intermediate Core-Plus Bond,3,1.08B,20.00,1984-05-31,AMG Funds,3.43,2.18,89.61,0.00,1.16,3.62,0.00,0.00,0.00,0.00,0.00,22.88,0.00,37.18,0.00,0.00,39.94,31,4,2.95,-0.33,-1.11,3.75,4.10,4.46,4.48,NULL,2000,100,True,False,2020-11-13
MGSEX,AMG Managers Special Equity Fund Class N,133.01,1.36,Small Growth,3,201.92M,96.00,1984-05-31,AMG Funds,1.27,98.73,0.00,0.00,0.00,0.00,1.62,10.28,3.75,1.79,4.65,32.04,0.12,1.56,0.29,15.75,28.14,26,9,10.39,0.60,2.57,16.41,11.22,12.05,12.91,NULL,2000,100,True,False,2020-11-13
SKSEX,AMG Managers Skyline Special Equities Fund Class N,34.81,1.18,Small Blend,2,317.74M,20.00,1987-04-22,AMG Funds,1.66,98.34,0.00,0.00,0.00,0.00,9.63,11.32,22.71,0.00,1.22,4.80,0.00,0.00,0.00,35.72,14.59,22,10,-16.39,2.91,5.93,-11.70,-4.02,1.92,8.27,NULL,2000,100,True,False,2020-11-13
CHTFX,Aquila Churchill Tax Free Fund of Kentucky Class A,10.90,0.80,Muni Single State Interm,4,179.62M,6.00,1987-05-20,Aquila,1.92,0.00,98.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27,5,2.31,-0.09,-0.29,2.70,3.03,2.63,3.07,NULL,1000,0,True,False,2020-11-13
COTFX,Aquila Tax-Free Fund of Colorado Class A,10.75,0.74,Muni Single State Interm,3,279.88M,13.00,1987-05-20,Aquila,1.44,0.00,98.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29,3,2.74,-0.32,-0.69,3.08,2.67,2.28,2.95,NULL,1000,0,True,False,2020-11-13
AZTFX,Aquila Tax-Free Trust of Arizona Class A,10.86,0.74,Muni Single State Interm,4,271.37M,21.00,1986-03-12,Aquila,3.86,0.00,96.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,2.21,-0.17,-0.55,2.52,3.17,2.76,3.40,NULL,1000,0,True,False,2020-11-13
ORTFX,Aquila Tax-Free Trust of Oregon Class A,11.38,0.70,Muni Single State Interm,3,665.4M,12.00,1986-06-15,Aquila,1.49,0.00,98.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,3.14,-0.31,-0.84,3.45,2.90,2.34,2.96,NULL,1000,0,True,False,2020-11-13
CAAPX,Ariel Appreciation Fund Investor Class,42.81,1.14,Mid-Cap Value,3,974.11M,18.00,1989-11-30,Ariel Investments,1.17,98.83,0.00,0.00,0.00,0.00,0.00,12.81,33.32,2.19,4.20,15.57,0.00,9.80,0.79,14.60,6.72,21,9,-12.15,1.11,2.81,-6.34,-0.08,3.12,8.04,NULL,1000,100,True,False,2020-11-13
ARGFX,Ariel Fund Investor Class,61.37,1.02,Mid-Cap Value,2,1.6B,22.00,1986-11-05,Ariel Investments,1.89,98.11,0.00,0.00,0.00,0.00,0.00,10.98,21.10,5.64,6.10,10.80,0.00,18.70,2.16,18.11,6.41,24,9,-14.40,2.35,3.11,-8.69,-0.38,3.68,8.34,NULL,1000,100,True,False,2020-11-13
